Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03 00:00:00,72.38,74.75,72.25,74.75,28829800,74.43
2006-01-04 00:00:00,75.13,75.98,74.5,74.97,22128700,74.65
2006-01-05 00:00:00,74.83,74.9,73.75,74.38,16050800,74.06
2006-01-06 00:00:00,75.25,76.7,74.55,76.3,25159200,75.97
2006-01-09 00:00:00,76.73,77.2,75.74,76.05,24108600,75.72
2006-01-10 00:00:00,76.25,81.89,75.83,80.86,81423900,80.51
2006-01-11 00:00:00,83.84,84.8,82.59,83.9,53349800,83.54
2006-01-12 00:00:00,84.97,86.4,83.62,84.29,45743200,83.93
2006-01-13 00:00:00,84.99,86.01,84.6,85.59,27725200,85.22
2006-01-17 00:00:00,85.7,86.38,83.87,84.71,29843700,84.35
2006-01-18 00:00:00,83.08,84.05,81.85,82.49,42879900,82.14
2006-01-19 00:00:00,81.25,81.66,78.74,79.04,60566000,78.7
2006-01-20 00:00:00,79.28,80.04,75.83,76.09,40527100,75.76
2006-01-23 00:00:00,76.1,79.56,76.0,77.67,37847500,77.34
2006-01-24 00:00:00,78.76,79.42,75.77,76.04,40794800,75.71
2006-01-25 00:00:00,77.39,77.5,73.25,74.2,45563800,73.88
2006-01-26 00:00:00,74.53,75.43,71.93,72.33,42192400,72.02
2006-01-27 00:00:00,72.95,73.6,71.1,72.03,34066600,71.72
2006-01-30 00:00:00,71.17,76.6,70.87,75.0,49942900,74.68
2006-01-31 00:00:00,75.5,76.34,73.75,75.51,32626500,75.19
2006-02-01 00:00:00,74.95,76.46,74.64,75.42,18613800,75.1
2006-02-02 00:00:00,75.1,75.36,72.05,72.1,25261500,71.79
2006-02-03 00:00:00,72.24,72.79,71.04,71.85,24718700,71.54
2006-02-06 00:00:00,72.02,72.51,66.74,67.3,58991700,67.01
2006-02-07 00:00:00,68.27,69.48,66.68,67.6,49601100,67.31
2006-02-08 00:00:00,68.49,69.08,66.0,68.81,34039800,68.52
2006-02-09 00:00:00,69.1,69.23,64.53,64.95,41063000,64.67
2006-02-10 00:00:00,65.18,67.67,62.9,67.31,62874200,67.02
2006-02-13 00:00:00,66.63,66.75,64.64,64.71,31553500,64.43
2006-02-14 00:00:00,65.1,68.1,65.0,67.64,41462100,67.35
2006-02-15 00:00:00,67.16,69.62,66.75,69.22,41420400,68.92
2006-02-16 00:00:00,69.91,71.01,69.48,70.57,33863400,70.27
2006-02-17 00:00:00,70.3,70.89,69.61,70.29,20571400,69.99
2006-02-21 00:00:00,70.59,70.8,68.68,69.08,27843100,68.78
2006-02-22 00:00:00,69.0,71.67,68.0,71.32,34937100,71.02
2006-02-23 00:00:00,71.79,73.0,71.43,71.75,30604200,71.44
2006-02-24 00:00:00,72.14,72.89,71.2,71.46,19098000,71.15
2006-02-27 00:00:00,71.99,72.12,70.65,70.99,28258600,70.69
