Date,Open,High,Low,Close,Volume,Adj Close
2002-10-18,52.60,53.20,51.14,53.15,152817200,22.08
2002-10-17,52.28,52.50,50.05,50.77,182602400,21.09
2002-10-16,50.39,51.26,50.28,50.41,95437400,20.94
2002-10-15,51.26,52.37,50.65,52.29,133374200,21.72
2002-10-14,48.25,49.33,47.84,49.29,76216200,20.48
2002-10-11,47.36,48.90,47.01,48.87,108828800,20.30
2002-10-10,44.00,46.62,43.25,46.38,118515000,19.27
2002-10-09,44.23,45.45,43.81,43.99,123142600,18.27
2002-10-08,44.75,45.98,44.13,44.99,115667600,18.69
2002-10-07,43.81,45.06,43.69,44.05,89790000,18.30
2002-10-04,45.39,45.57,43.69,43.77,107120400,18.18
2002-10-03,45.30,46.59,44.60,44.80,105221400,18.61
2002-10-02,46.10,46.81,45.16,45.61,103488600,18.95
2002-10-01,44.32,46.25,43.19,46.23,110636600,19.21
2002-09-30,44.87,45.04,43.11,43.74,115577000,18.17
2002-09-27,46.04,47.10,45.19,45.25,81011600,18.80
2002-09-26,47.11,47.50,45.95,46.20,100852200,19.19
2002-09-25,46.40,46.96,45.05,46.51,107116600,19.32
2002-09-24,44.83,46.48,44.63,45.64,104142200,18.96
2002-09-23,46.60,46.71,44.81,45.23,89783800,18.79
2002-09-20,47.71,48.00,47.30,47.46,130619200,19.72
2002-09-19,46.68,47.82,46.59,47.20,77777600,19.61
2002-09-18,46.72,48.24,46.66,47.75,83951800,19.84
2002-09-17,48.67,48.90,47.21,47.29,73343400,19.65
2002-09-16,47.60,48.13,47.05,47.78,50166200,19.85
2002-09-13,46.90,48.26,46.85,47.91,59549200,19.90
2002-09-12,48.15,48.30,47.02,47.15,63726800,19.59
2002-09-11,50.23,51.10,48.53,48.58,77443200,20.18
2002-09-10,48.54,49.82,48.35,49.79,83950000,20.68
2002-09-09,47.25,48.95,46.63,48.70,81653200,20.23
2002-09-06,47.75,48.27,47.47,47.82,69918400,19.87
2002-09-05,47.50,47.52,45.88,45.91,90438800,19.07
2002-09-04,47.45,48.60,47.15,48.21,80232000,20.03
2002-09-03,48.52,48.52,47.00,47.02,74452600,19.53
2002-08-30,50.14,50.48,49.00,49.08,58138400,20.39
2002-08-29,48.89,51.00,48.52,50.58,94275600,21.01
2002-08-28,50.48,50.66,49.30,49.38,68875000,20.51
2002-08-27,52.33,52.45,50.65,50.84,65470200,21.12
2002-08-26,52.50,52.65,51.18,52.10,55652400,21.64
2002-08-23,52.66,52.85,51.84,52.22,57929200,21.69
2002-08-22,52.85,53.45,52.60,53.23,72517600,22.11
2002-08-21,51.56,52.38,51.15,52.28,81203400,21.72
2002-08-20,51.38,51.70,50.75,51.04,70317600,21.20
2002-08-19,50.04,52.05,49.85,52.00,79848200,21.60
2002-08-16,49.43,50.23,48.92,50.00,69334000,20.77
2002-08-15,49.96,50.74,48.75,49.77,98745600,20.68
2002-08-14,47.25,49.73,47.21,49.71,96706000,20.65
2002-08-13,47.99,49.70,46.92,47.06,100122800,19.55
2002-08-12,47.61,48.75,47.60,48.47,56866600,20.14
2002-08-09,48.15,49.15,47.66,48.12,69049400,19.99
2002-08-08,47.11,49.00,46.41,48.91,88748000,20.32
2002-08-07,47.00,47.30,45.16,47.09,86349400,19.56
2002-08-06,44.90,47.25,44.84,45.67,88715800,18.97
2002-08-05,44.29,45.17,43.81,43.99,78941600,18.27
2002-08-02,45.51,45.85,43.80,44.41,85947600,18.45
2002-08-01,47.58,48.09,45.50,45.75,92002800,19.01
2002-07-31,47.61,48.00,46.36,47.98,93875600,19.93
2002-07-30,47.55,48.83,47.33,48.10,122690600,19.98
2002-07-29,46.85,48.30,46.55,48.25,112148600,20.04
2002-07-26,43.74,45.41,43.68,45.35,123538000,18.84
2002-07-25,45.45,45.71,42.44,42.83,163411400,17.79
2002-07-24,41.75,46.36,41.41,46.23,202307800,19.21
2002-07-23,46.49,46.80,42.97,43.01,168061600,17.87
2002-07-22,48.95,49.99,45.90,47.51,180069800,19.74
2002-07-19,49.87,50.89,48.81,49.56,112543400,20.59
2002-07-18,52.06,52.74,50.66,51.11,91053600,21.23
2002-07-17,52.52,53.30,51.17,52.00,98034800,21.60
2002-07-16,51.31,52.80,50.64,51.25,97154600,21.29
2002-07-15,51.39,51.86,48.00,51.80,136965600,21.52
2002-07-12,53.37,53.73,51.48,51.86,95733800,21.54
2002-07-11,52.04,53.07,51.25,52.91,129550600,21.98
2002-07-10,53.69,54.20,52.13,52.24,90673400,21.70
